id,label,house
Gariss,Gariss,Misc
Garlan-Tyrell,Garlan Tyrell,Tyrell
Garrett-Paege,Garrett Paege,Misc
Garth-(Wolfs-Den),Garth (Wolfs Den),Misc
Garth-Greyfeather,Garth Greyfeather,Misc
Garth-Tyrell,Garth Tyrell,Tyrell
Gawen-Westerling,Gawen Westerling,Misc
Gelmarr,Gelmarr,Misc
Gendel,Gendel,Misc
Gendry,Gendry,Misc
Genna-Lannister,Genna Lannister,Lannister
Gerald-Gower,Gerald Gower,Misc
Gerold-Dayne,Gerold Dayne,Misc
Gerold-Grafton,Gerold Grafton,Misc
Gerold-Hightower,Gerold Hightower,Misc
Gerrick-Kingsblood,Gerrick Kingsblood,Misc
Gerris-Drinkwater,Gerris Drinkwater,Misc
Ghael,Ghael,Misc
Gilly,Gilly,Misc
Gilwood-Hunter,Gilwood Hunter,Misc
Godric-Borrell,Godric Borrell,Misc
Godry-Farring,Godry Farring,Misc
Goghor-the-Giant,Goghor the Giant,Misc
Gormon-Tyrell,Gormon Tyrell,Tyrell
Gormond-Goodbrother,Gormond Goodbrother,Misc
Gorne,Gorne,Misc
Gorold-Goodbrother,Gorold Goodbrother,Misc
Grazdan-mo-Eraz,Grazdan mo Eraz,Misc
Grazhar,Grazhar,Misc
Greenbeard,Greenbeard,Misc
Gregor-Clegane,Gregor Clegane,Misc
Grenn,Grenn,Misc
Gretchel,Gretchel,Misc
Grey-Worm,Grey Worm,Misc
Greydon-Goodbrother,Greydon Goodbrother,Misc
Grigg,Grigg,Misc
Grimtongue,Grimtongue,Misc
Grisel,Grisel,Misc
Groleo,Groleo,Misc
Grunt,Grunt,Misc
Guncer-Sunglass,Guncer Sunglass,Misc
Gunthor-son-of-Gurn,Gunthor son of Gurn,Misc
Guyard-Morrigen,Guyard Morrigen,Misc
Gyles-Grafton,Gyles Grafton,Misc
Gyles-Rosby,Gyles Rosby,Misc
Gynir,Gynir,Misc
Hagen,Hagen,Misc
Haggo,Haggo,Misc
Haggon,Haggon,Misc
Hairy-Hal,Hairy Hal,Misc
Hake,Hake,Misc
Halder,Halder,Misc
Haldon,Haldon,Misc
Hali,Hali,Misc
Hallis-Mollen,Hallis Mollen,Misc
Hallyne,Hallyne,Misc
Halys-Hornwood,Halys Hornwood,Misc
Hareth-(Moles-Town),Hareth (Moles Town),Misc
Harl,Harl,Misc
Harma,Harma,Misc
Harra,Harra,Misc
Harras-Harlaw,Harras Harlaw,Misc
Harren-Hoare,Harren Hoare,Misc
Harrold-Hardyng,Harrold Hardyng,Misc
Harry-Strickland,Harry Strickland,Misc
Harwin,Harwin,Misc
Harwood-Stout,Harwood Stout,Misc
Harys-Swyft,Harys Swyft,Misc
Hayhead,Hayhead,Misc
Helman-Tallhart,Helman Tallhart,Misc
Hero,Hero,Misc
Heward,Heward,Misc
High-Septon-(fat_one),High Septon (fat one),Misc
High-Septon-(Tyrions),High Septon (Tyrions),Misc
High-Sparrow,High Sparrow,Misc
Hizdahr-zo-Loraq,Hizdahr zo Loraq,Misc
Hobb,Hobb,Misc
Hobber-Redwyne,Hobber Redwyne,Misc
Hodor,Hodor,Misc
Holly,Holly,Misc
Hop-Robin,Hop Robin,Misc
Horas-Redwyne,Horas Redwyne,Misc
Horton-Redfort,Horton Redfort,Misc
Hosteen-Frey,Hosteen Frey,Misc
Hoster-Blackwood,Hoster Blackwood,Misc
Hoster-Tully,Hoster Tully,Tully
Hot-Pie,Hot Pie,Misc
Hother-Umber,Hother Umber,Misc
Hotho-Harlaw,Hotho Harlaw,Misc
Howland-Reed,Howland Reed,Misc
Hugh,Hugh,Misc
Hugh-Hungerford,Hugh Hungerford,Misc
Hugo-Vance,Hugo Vance,Misc
Hullen,Hullen,Misc
Humfrey-Hewett,Humfrey Hewett,Misc
Husband,Husband,Misc
Hyle-Hunt,Hyle Hunt,Misc
Illifer,Illifer,Misc
Illyrio-Mopatis,Illyrio Mopatis,Misc
Ilyn-Payne,Ilyn Payne,Misc
Imry-Florent,Imry Florent,Misc
Irri,Irri,Misc
Jacelyn-Bywater,Jacelyn Bywater,Misc
Jack-Be-Lucky,Jack Be Lucky,Misc
Jack-Bulwer,Jack Bulwer,Misc
Jacks,Jacks,Misc
Jaehaerys-I-Targaryen,Jaehaerys I Targaryen,Targaryen
Jafer-Flowers,Jafer Flowers,Misc
Jaime-Lannister,Jaime Lannister,Lannister
Jalabhar-Xho,Jalabhar Xho,Misc
Janos-Slynt,Janos Slynt,Misc
Jaqen-Hghar,Jaqen Hghar,Misc
Jared-Frey,Jared Frey,Misc
Jaremy-Rykker,Jaremy Rykker,Misc
Jarl,Jarl,Misc
Jarman-Buckwell,Jarman Buckwell,Misc
Jason-Mallister,Jason Mallister,Misc
Jeor-Mormont,Jeor Mormont,Misc
Jeyne-Farman,Jeyne Farman,Misc
Jeyne-Heddle,Jeyne Heddle,Misc
Jeyne-Poole,Jeyne Poole,Misc
Jeyne-Westerling,Jeyne Westerling,Misc
Jhiqui,Jhiqui,Misc
Jhogo,Jhogo,Misc
Joanna-Lannister,Joanna Lannister,Lannister
Jocelyn-Swyft,Jocelyn Swyft,Misc
Joffrey-Baratheon,Joffrey Baratheon,Baratheon
Jojen-Reed,Jojen Reed,Misc
Jommo,Jommo,Misc
Jon-Arryn,Jon Arryn,Arryn
Jon-Connington,Jon Connington,Misc
Jon-Fossoway,Jon Fossoway,Misc
Jon-Snow,Jon Snow,Stark
Jon-Umber-(Greatjon),Jon Umber (Greatjon),Misc
Jon-Umber-(Smalljon),Jon Umber (Smalljon),Misc
Jonos-Bracken,Jonos Bracken,Misc
Jonothor-Darry,Jonothor Darry,Misc
Jonquil,Jonquil,Misc
Jorah-Mormont,Jorah Mormont,Misc
Joramun,Joramun,Misc
Jory-Cassel,Jory Cassel,Misc
Joseth,Joseth,Misc
Josmyn-Peckledon,Josmyn Peckledon,Misc
Joss,Joss,Misc
Joy-Hill,Joy Hill,Misc
Justin-Massey,Justin Massey,Misc
Jyck,Jyck,Misc
Karyl-Vance,Karyl Vance,Misc
Kasporio,Kasporio,Misc
Kedry,Kedry,Misc
Kegs,Kegs,Misc
Kella,Kella,Misc
Kerwin,Kerwin,Misc
Kevan-Lannister,Kevan Lannister,Lannister
Khorane-Sathmantes,Khorane Sathmantes,Misc
Khrazz,Khrazz,Misc
Kindly-Man,Kindly Man,Misc
Kojja-Mo,Kojja Mo,Misc
Koss,Koss,Misc
Kraznys-mo-Nakloz,Kraznys mo Nakloz,Misc
Kurleket,Kurleket,Misc
Kurz,Kurz,Misc
Kyra,Kyra,Misc
Lambert-Turnberry,Lambert Turnberry,Misc
Lamprey,Lamprey,Misc
Lancel-Lannister,Lancel Lannister,Lannister
Lanna-(Happy-Port),Lanna (Happy Port),Misc
Lark,Lark,Misc
Larraq,Larraq,Misc
Leaf,Leaf,Misc
Leathers,Leathers,Misc
Lem,Lem,Misc
Lemore,Lemore,Misc
Leo-Lefford,Leo Lefford,Misc
Leo-Tyrell,Leo Tyrell,Tyrell
Leobald-Tallhart,Leobald Tallhart,Misc
Leona-Woolfield,Leona Woolfield,Misc
Leonette-Fossoway,Leonette Fossoway,Misc
Lewyn-Martell,Lewyn Martell,Martell
Lewys-Piper,Lewys Piper,Misc
Lollys-Stokeworth,Lollys Stokeworth,Misc
Lommy-Greenhands,Lommy Greenhands,Misc
Longwater-Pyke,Longwater Pyke,Misc
Loras-Tyrell,Loras Tyrell,Tyrell
Lorent-Caswell,Lorent Caswell,Misc
Lorren,Lorren,Misc
Lothar-Frey,Lothar Frey,Misc
Lothor-Brune,Lothor Brune,Misc
Lucas-Codd,Lucas Codd,Misc
Lucifer-Long,Lucifer Long,Misc
Luton,Luton,Misc
Luwin,Luwin,Misc
Lyanna-Mormont,Lyanna Mormont,Misc
Lyanna-Stark,Lyanna Stark,Stark
Lyle-Crakehall,Lyle Crakehall,Misc
Lyn-Corbray,Lyn Corbray,Misc
Lynesse-Hightower,Lynesse Hightower,Misc
Lyonel-Corbray,Lyonel Corbray,Misc
Lysa-Arryn,Lysa Arryn,Arryn
Lysono-Maar,Lysono Maar,Misc
Mace-Tyrell,Mace Tyrell,Tyrell
Mad-Huntsman,Mad Huntsman,Misc
Maddy,Maddy,Misc
Maege-Mormont,Maege Mormont,Misc
Maegor-I-Targaryen,Maegor I Targaryen,Targaryen
Maekar-I-Targaryen,Maekar I Targaryen,Targaryen
Mag-Mar-Tun-Doh-Weg,Mag Mar Tun Doh Weg,Misc
Maggy,Maggy,Misc
Malaquo-Maegyr,Malaquo Maegyr,Misc
Malegorn,Malegorn,Misc
Mallador-Locke,Mallador Locke,Misc
Mance-Rayder,Mance Rayder,Misc
Mandon-Moore,Mandon Moore,Misc
Manfrey-Martell,Manfrey Martell,Martell
Margaery-Tyrell,Margaery Tyrell,Tyrell
Marghaz-zo-Loraq,Marghaz zo Loraq,Misc
Marillion,Marillion,Misc
Mariya-Darry,Mariya Darry,Misc
Mark-Mullendore,Mark Mullendore,Misc
Marlon-Manderly,Marlon Manderly,Misc
Maron-Greyjoy,Maron Greyjoy,Greyjoy
Marq-Piper,Marq Piper,Misc
Marselen,Marselen,Misc
Martyn-Lannister,Martyn Lannister,Lannister
Martyn-Rivers,Martyn Rivers,Misc
Marwyn,Marwyn,Misc
Marya-Seaworth,Marya Seaworth,Misc
Masha-Heddle,Masha Heddle,Misc
Mathis-Rowan,Mathis Rowan,Misc
Matthar,Matthar,Misc
Matthos-Seaworth,Matthos Seaworth,Misc
Mebble,Mebble,Misc
Meera-Reed,Meera Reed,Misc
Megga-Tyrell,Megga Tyrell,Tyrell
Melara-Hetherspoon,Melara Hetherspoon,Misc
Meldred-Merlyn,Meldred Merlyn,Misc
Melisandre,Melisandre,Misc
Mellei,Mellei,Misc
Meralyn,Meralyn,Misc
Meribald,Meribald,Misc
Meris,Meris,Misc
Mero,Mero,Misc
Merrett-Frey,Merrett Frey,Misc
Merrit,Merrit,Misc
Meryn-Trant,Meryn Trant,Misc
Mezzara,Mezzara,Misc
Mikken,Mikken,Misc
Miklaz,Miklaz,Misc
Mirri-Maz-Duur,Mirri Maz Duur,Misc
Missandei,Missandei,Misc
Moelle,Moelle,Misc
Mollander,Mollander,Misc
Monford-Velaryon,Monford Velaryon,Misc
Moon-Boy,Moon Boy,Misc
Moqorro,Moqorro,Misc
Mord,Mord,Misc
Mordane,Mordane,Misc
Moreo-Tumitis,Moreo Tumitis,Misc
Morgo,Morgo,Misc
Morra,Morra,Misc
Morrec,Morrec,Misc
Mors-Umber,Mors Umber,Misc
Mully,Mully,Misc
Munda,Munda,Misc
Murch,Murch,Misc
Murenmure,Murenmure,Misc
Mya-Stone,Mya Stone,Misc
Mycah,Mycah,Misc
Mychel-Redfort,Mychel Redfort,Misc
Myles-Toyne,Myles Toyne,Misc
Myranda-Royce,Myranda Royce,Misc
Myrcella-Baratheon,Myrcella Baratheon,Baratheon
Nage,Nage,Misc
Nan,Nan,Misc
Narbert,Narbert,Misc
Narbert-Grandison,Narbert Grandison,Misc
Nestor-Royce,Nestor Royce,Misc
Nurse,Nurse,Misc
Nute,Nute,Misc
Nyessos-Vhassar,Nyessos Vhassar,Misc
Nymeria-Sand,Nymeria Sand,Misc
Obara-Sand,Obara Sand,Misc
Oberyn-Martell,Oberyn Martell,Martell
Ogo,Ogo,Misc
Old-Bill-Bone,Old Bill Bone,Misc
Olenna-Redwyne,Olenna Redwyne,Misc
Olyvar-Frey,Olyvar Frey,Misc
Orell,Orell,Misc
Orton-Merryweather,Orton Merryweather,Misc
Osfryd-Kettleblack,Osfryd Kettleblack,Misc
Osha,Osha,Misc
Osmund-Kettleblack,Osmund Kettleblack,Misc
Osney-Kettleblack,Osney Kettleblack,Misc
Oswell-Kettleblack,Oswell Kettleblack,Misc
Oswell-Whent,Oswell Whent,Misc
Othell-Yarwyck,Othell Yarwyck,Misc
Othor,Othor,Misc
Ottyn-Wythers,Ottyn Wythers,Misc
Owen,Owen,Misc
Owen-Merryweather,Owen Merryweather,Misc
Oznak-zo-Pahl,Oznak zo Pahl,Misc
Palla,Palla,Misc
Patchface,Patchface,Misc
Pate-(novice),Pate (novice),Misc
Pate-(Old),Pate (Old),Misc
Pate-(whipping-boy),Pate (whipping boy),Misc
Patrek-of-Kings-Mountain,Patrek of Kings Mountain,Misc
Paxter-Redwyne,Paxter Redwyne,Misc
Penny,Penny,Misc
Perwyn-Frey,Perwyn Frey,Misc
Petyr-Baelish,Petyr Baelish,Misc
Petyr-Frey,Petyr Frey,Misc
Pia,Pia,Misc
Podrick-Payne,Podrick Payne,Misc
Polliver,Polliver,Misc
Pono,Pono,Misc
Porridge,Porridge,Misc
Porther,Porther,Misc
Poxy-Tym,Poxy Tym,Misc
Praed,Praed,Misc
Prendahl-na-Ghezn,Prendahl na Ghezn,Misc
Preston-Greenfield,Preston Greenfield,Misc
Puckens,Puckens,Misc
Pyat-Pree,Pyat Pree,Misc
Pycelle,Pycelle,Misc
Pyg,Pyg,Misc
Pylos,Pylos,Misc
Pypar,Pypar,Misc
Qarl-the-Maid,Qarl the Maid,Misc
Qavo-Nogarys,Qavo Nogarys,Misc
Qezza,Qezza,Misc
Qhorin-Halfhand,Qhorin Halfhand,Misc
Qotho,Qotho,Misc
Quaithe,Quaithe,Misc
Quaro,Quaro,Misc
Quellon-Greyjoy,Quellon Greyjoy,Greyjoy
Quentyn-Martell,Quentyn Martell,Martell
Quhuru-Mo,Quhuru Mo,Misc
Quill,Quill,Misc
Qyburn,Qyburn,Misc
Rafford,Rafford,Misc
Ragwyle,Ragwyle,Misc
Rakharo,Rakharo,Misc
Ralf-(Limper),Ralf (Limper),Misc
Ralf-Stonehouse,Ralf Stonehouse,Misc
Ramsay-Snow,Ramsay Snow,Misc
Randyll-Tarly,Randyll Tarly,Misc
Rast,Rast,Misc
Rattleshirt,Rattleshirt,Misc
Ravella-Swann,Ravella Swann,Misc
Raymun-Darry,Raymun Darry,Misc
Raymun-Redbeard,Raymun Redbeard,Misc
Raynald-Westerling,Raynald Westerling,Misc
Raynard,Raynard,Misc
Red-Oarsman,Red Oarsman,Misc
Reek,Reek,Misc
Renly-Baratheon,Renly Baratheon,Baratheon
Rennifer-Longwaters,Rennifer Longwaters,Misc
